COMMON_NAME,TITLE,FAB_PROD,RET_PROD,REV,LAYER,STEP,PLATE_TYPE,TAPEIN_TREND,ITO_TREND,ITO_COMMIT,ITO_STATUS,RET_FABREV,FAB,BARCODE,IMO_TREND,IMO_COMMIT,IMO_STATUS,SHIPDATE,FAB_REQUIREDDATE,IMO_DOTPROCESS,IMO_ISHOT,TECHNOLOGY,TO_ENGCONTACT,DBNAMES,LAST_UPDATED_TIMESTAMP
PANTHERLAKECPU-UDIE,0AB4,8PXMCVAG,8PXMCG,0,DR6,G,AI6N,05/22/2025,05/28/2025,2025-05-29 07:00:00,Released,REV 3.1.6.0,F32,8PXMCGDR60AB4,07/18/2025,2025-07-19 00:00:00,Shipped,2025-07-18 15:34:33,07/23/2025,1278.3-17,,1278.3,REILLYCO,"8pxmcg_0a.oas,f300288.oas",2025-05-28 10:44:01
PANTHERLAKECPU-UDIE,0AA4,8PXMCVAG,8PXMCG,0,NDR,G,AI6N,12/09/2024,12/11/2024,2024-12-13 12:00:00,Released,REV 3.0.4.0,F32,8PXMCGNDR0AA4,06/20/2025,2025-07-12 00:00:00,Shipped,2025-06-20 06:05:59,07/07/2025,1278.3-17,,1278.3,DMJACOB,"8pxmcg_0a.oas,f300288.oas",2025-05-01 05:31:53
PANTHERLAKECPU-UDIE,0AA3,8PXMCVAG,8PXMCG,0,PDR,G,AI6N,12/09/2024,12/11/2024,2024-12-13 12:00:00,Released,REV 3.0.4.0,F32,8PXMCGPDR0AA3,06/24/2025,2025-07-12 00:00:00,Shipped,2025-06-24 09:50:14,07/08/2025,1278.3-17,,1278.3,DMJACOB,"8pxmcg_0a.oas,f300288.oas",2025-05-01 05:15:45
PANTHERLAKECPU-UDIE,0AA4,8PXMCVAG,8PXMCG,0,PDR,G,AI6N,12/09/2024,12/11/2024,2024-12-13 12:00:00,Released,REV 3.0.4.0,F32,8PXMCGPDR0AA4,06/28/2025,2025-07-12 00:00:00,Shipped,2025-06-28 01:32:12,07/08/2025,1278.3-17,,1278.3,DMJACOB,"8pxmcg_0a.oas,f300288.oas",2025-05-01 05:15:45
PANTHERLAKECPU-UDIE,0SA4,8PXMCVAG,8PXMCG,0,ZRO,G,XC6N,12/09/2024,12/11/2024,2024-12-13 12:00:00,Released,REV 1.2.0.0,F32,8PXMCGZRO0SA4,06/27/2025,2025-07-12 00:00:00,Shipped,2025-06-27 14:26:51,07/06/2025,1278.3-17,,1278.3,DMJACOB,"8pxmcg_0a.oas,f300288.oas",2025-05-01 05:31:53
PANTHERLAKECPU-UDIE,0SA5,8PXMCVAG,8PXMCG,0,ZRO,G,XC6N,12/09/2024,12/11/2024,2024-12-13 12:00:00,Released,REV 1.2.0.0,F32,8PXMCGZRO0SA5,06/22/2025,2025-07-12 00:00:00,Shipped,2025-06-22 04:46:42,07/06/2025,1278.3-17,,1278.3,DMJACOB,"8pxmcg_0a.oas,f300288.oas",2025-05-01 05:31:53
PANTHERLAKECPU-UDIE,0AA3,8PXMCVAG,8PXMCG,0,FT1,G,AI6U,12/09/2024,12/12/2024,2024-12-13 12:00:00,Released,REV 4.1.2.0,F52,8PXMCGFT10AA3,~12/19/2024,2025-07-19 00:00:00,Rejected,,07/24/2025,1278.3-17,,1278.3,DMJACOB,"8pxmcg_0a.oas,f300288.oas",2025-05-01 05:15:45
PANTHERLAKECPU-UDIE,0AA4,8PXMCVAG,8PXMCG,0,FT1,G,AI6U,12/09/2024,12/12/2024,2024-12-13 12:00:00,Released,REV 4.1.2.0,F32,8PXMCGFT10AA4,07/15/2025,2025-07-19 00:00:00,Shipped,2025-07-15 04:49:13,07/24/2025,1278.3-17,,1278.3,DMJACOB,"8pxmcg_0a.oas,f300288.oas",2025-05-01 05:15:45
PANTHERLAKECPU-UDIE,0AA3,8PXMCVAG,8PXMCG,0,FT2,G,AI6U,12/09/2024,12/12/2024,2024-12-13 12:00:00,Released,REV 4.1.2.0,F32,8PXMCGFT20AA3,08/02/2025,2025-07-19 00:00:00,Shipped,2025-08-02 21:43:02,08/02/2025,1278.3-17,,1278.3,DMJACOB,"8pxmcg_0a.oas,f300288.oas",2025-05-01 05:15:45
PANTHERLAKECPU-UDIE,0AA4,8PXMCVAG,8PXMCG,0,FT2,G,AI6U,12/09/2024,12/12/2024,2024-12-13 12:00:00,Released,REV 4.1.2.0,F32,8PXMCGFT20AA4,07/05/2025,2025-07-19 00:00:00,Shipped,2025-07-05 16:34:23,07/18/2025,1278.3-17,,1278.3,DMJACOB,"8pxmcg_0a.oas,f300288.oas",2025-05-01 05:15:45
PANTHERLAKECPU-UDIE,0AA3,8PXMCVAG,8PXMCG,0,FTP,G,AI6N,12/09/2024,12/11/2024,2024-12-13 12:00:00,Released,REV 1.0.3.0,F32,8PXMCGFTP0AA3,07/18/2025,2025-07-19 00:00:00,Shipped,2025-07-18 14:51:00,07/19/2025,1278.3-17,,1278.3,DMJACOB,"8pxmcg_0a.oas,f300288.oas",2025-05-02 11:24:17
PANTHERLAKECPU-UDIE,0AA4,8PXMCVAG,8PXMCG,0,FTP,G,AI6N,12/09/2024,12/11/2024,2024-12-13 12:00:00,Released,REV 1.0.3.0,F32,8PXMCGFTP0AA4,07/08/2025,2025-07-19 00:00:00,Shipped,2025-07-08 03:08:16,07/19/2025,1278.3-17,,1278.3,DMJACOB,"8pxmcg_0a.oas,f300288.oas",2025-05-02 11:24:17
PANTHERLAKECPU-UDIE,0AA3,8PXMCVAG,8PXMCG,0,HNS,G,AI6N,12/09/2024,12/11/2024,2024-12-13 12:00:00,Released,REV 2.1.4.0,F32,8PXMCGHNS0AA3,07/13/2025,2025-07-19 00:00:00,Shipped,2025-07-13 19:10:18,07/31/2025,1278.3-17,,1278.3,DMJACOB,"8pxmcg_0a.oas,f300288.oas",2025-05-01 05:15:45
PANTHERLAKECPU-UDIE,0AA4,8PXMCVAG,8PXMCG,0,HNS,G,AI6N,12/09/2024,12/11/2024,2024-12-13 12:00:00,Released,REV 2.1.4.0,F32,8PXMCGHNS0AA4,07/14/2025,2025-07-19 00:00:00,Shipped,2025-07-14 06:34:00,07/31/2025,1278.3-17,,1278.3,DMJACOB,"8pxmcg_0a.oas,f300288.oas",2025-05-01 05:15:45
PANTHERLAKECPU-UDIE,0AB3,8PXMCVAG,8PXMCG,0,HNU,G,AI6N,05/22/2025,05/28/2025,2025-05-29 07:00:00,Released,REV 3.97.5.0,F32,8PXMCGHNU0AB3,07/15/2025,2025-07-19 00:00:00,Shipped,2025-07-15 03:52:33,07/22/2025,1278.3-17,,1278.3,REILLYCO,"8pxmcg_0a.oas,f300288.oas",2025-05-28 10:44:01
PANTHERLAKECPU-UDIE,0AB4,8PXMCVAG,8PXMCG,0,HNU,G,AI6N,05/22/2025,05/28/2025,2025-05-29 07:00:00,Released,REV 3.97.5.0,F32,8PXMCGHNU0AB4,07/08/2025,2025-07-19 00:00:00,Shipped,2025-07-08 06:19:32,07/22/2025,1278.3-17,,1278.3,REILLYCO,"8pxmcg_0a.oas,f300288.oas",2025-05-28 10:44:01
PANTHERLAKECPU-UDIE,0AA3,8PXMCVAG,8PXMCG,0,NBM,G,AI6N,12/09/2024,12/11/2024,2024-12-13 12:00:00,Released,REV 5.1.4.0,F32,8PXMCGNBM0AA3,07/15/2025,2025-07-19 00:00:00,Shipped,2025-07-15 10:26:27,07/29/2025,1278.3-17,,1278.3,DMJACOB,"8pxmcg_0a.oas,f300288.oas",2025-05-01 05:31:53
PANTHERLAKECPU-UDIE,0AA4,8PXMCVAG,8PXMCG,0,NBM,G,AI6N,12/09/2024,12/11/2024,2024-12-13 12:00:00,Released,REV 5.1.4.0,F32,8PXMCGNBM0AA4,07/18/2025,2025-07-19 00:00:00,Shipped,2025-07-18 04:42:39,07/29/2025,1278.3-17,,1278.3,DMJACOB,"8pxmcg_0a.oas,f300288.oas",2025-05-01 05:31:53
PANTHERLAKECPU-UDIE,0SA3,8PXMCVAG,8PXMCG,0,NDI,G,XC6N,12/09/2024,12/11/2024,2024-12-13 12:00:00,Released,REV 1.3.0.0,F32,8PXMCGNDI0SA3,06/29/2025,2025-07-19 00:00:00,Shipped,2025-06-29 01:00:45,07/12/2025,1278.3-17,,1278.3,DMJACOB,"8pxmcg_0a.oas,f300288.oas",2025-05-01 05:31:53
PANTHERLAKECPU-UDIE,0SA4,8PXMCVAG,8PXMCG,0,NDI,G,XC6N,12/09/2024,12/11/2024,2024-12-13 12:00:00,Released,REV 1.3.0.0,F32,8PXMCGNDI0SA4,07/09/2025,2025-07-19 00:00:00,Shipped,2025-07-09 08:46:29,07/12/2025,1278.3-17,,1278.3,DMJACOB,"8pxmcg_0a.oas,f300288.oas",2025-05-01 05:31:53
PANTHERLAKECPU-UDIE,0AA3,8PXMCVAG,8PXMCG,0,NES,G,AI6N,12/09/2024,12/11/2024,2024-12-13 12:00:00,Released,REV 3.0.2.0,F32,8PXMCGNES0AA3,07/12/2025,2025-07-19 00:00:00,Shipped,2025-07-12 21:17:58,07/22/2025,1278.3-17,,1278.3,DMJACOB,"8pxmcg_0a.oas,f300288.oas",2025-05-01 06:44:19
PANTHERLAKECPU-UDIE,0AA4,8PXMCVAG,8PXMCG,0,NES,G,AI6N,12/09/2024,12/11/2024,2024-12-13 12:00:00,Released,REV 3.0.2.0,F32,8PXMCGNES0AA4,07/21/2025,2025-07-19 00:00:00,Shipped,2025-07-21 03:57:08,07/22/2025,1278.3-17,,1278.3,DMJACOB,"8pxmcg_0a.oas,f300288.oas",2025-05-01 06:44:19
PANTHERLAKECPU-UDIE,0AA3,8PXMCVAG,8PXMCG,0,NSD,G,AI6N,12/09/2024,12/11/2024,2024-12-13 12:00:00,Released,REV 3.1.2.0,F32,8PXMCGNSD0AA3,07/01/2025,2025-07-19 00:00:00,Shipped,2025-07-01 11:11:48,08/01/2025,1278.3-17,,1278.3,DMJACOB,"8pxmcg_0a.oas,f300288.oas",2025-05-01 05:15:45
PANTHERLAKECPU-UDIE,0AA4,8PXMCVAG,8PXMCG,0,NSD,G,AI6N,12/09/2024,12/11/2024,2024-12-13 12:00:00,Released,REV 3.1.2.0,F32,8PXMCGNSD0AA4,07/09/2025,2025-07-19 00:00:00,Shipped,2025-07-09 08:50:47,08/01/2025,1278.3-17,,1278.3,DMJACOB,"8pxmcg_0a.oas,f300288.oas",2025-05-01 05:15:45
PANTHERLAKECPU-UDIE,0AA4,8PXMCVAG,8PXMCG,0,PB2,G,AI6N,12/09/2024,12/11/2024,2024-12-13 12:00:00,Released,REV 2.0.1.0,F32,8PXMCGPB20AA4,07/04/2025,2025-07-19 00:00:00,Shipped,2025-07-04 18:15:22,07/27/2025,1278.3-17,,1278.3,DMJACOB,"8pxmcg_0a.oas,f300288.oas",2025-05-01 05:31:53
