NPI,TITLE,FAB_PROD,RET_PROD,PRODUCT,LOT,EXEC_SEQ,OPERATION,OPER_SHORT_DESC,OPER_LONG_DESC,OUT_DATE,LOT_PRIORITY_MOVEIN,AREA,MODULE,ACTIVITY,CUM_ACTIVITY,LAYER
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,1,204,Z EBMSTRT,Z EBM WAFER START QUEUE,2025/07/10 3:58:23 AM,,PC,PC-STARTS,0,0,START
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,16,204056,L 8ZRObaSE,L P1278 ZRO ba 1ST LYR SED (ZRO),2025/07/16 10:51:26 AM,2,LITHO,LI-SNEli,0,3,ZRO
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,78,213233,L 8b NDRaS,L P1278b NDR a SED (ZRO),2025/07/20 10:25:31 AM,2,LITHO,LI-SAVli,0,16,NDR
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,116,213234,L 8b PDRaS,L P1278b PDR a SED (ZRO),2025/07/20 8:15:15 PM,2,LITHO,LI-SAVli,0,22,PDR
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,195,213666,L 8bDPRdSE,L P1278 DPRb d SED (ZRO),2025/07/23 12:44:02 PM,2,LITHO,LI-SAYli,0,39,DPR
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,266,211888,L 8bDNUcSE,L P1278b c DNU SED (DPR),2025/07/24 11:52:17 PM,2,LITHO,LI-SAYli,0,51,DNU
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,348,204091,L 8b PDI S,"L P1278b PDI SED (DNU,DPR)",2025/07/28 7:15:40 AM,2,LITHO,LI-SNEli,0,64,PDI
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,379,204095,L 8b NDI S,"L P1278b NDI SED (DNU,DPR)",2025/07/28 10:05:55 PM,2,LITHO,LI-SNEli,0,67,NDI
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,461,257029,L 8PLYrSE,"L P1278 PLY r SED (DNU,DPR)",2025/08/01 12:05:16 PM,2,LITHO,LI-SAYli,0,88,PLY
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,574,210621,L 8b PS1 S,"L P1278b PS1 SED (PLY,DPR)",,,LITHO,LI-SAVli,0,112,PS1
