LOT,OPERATION,OUT_DATE
A5280130,0204,2025-07-10 03:58:01
A5280130,262711,2025-07-10 03:58:09
A5280130,179554,2025-07-10 04:21:26
A5280130,218045,2025-07-10 04:21:32
A5280130,202263,2025-07-10 12:15:36
A5280130,209409,2025-07-10 12:32:50
A5280130,180697,2025-07-10 12:39:44
A5280130,180046,2025-07-10 20:06:13
A5280130,202264,2025-07-11 13:47:24
A5280130,176976,2025-07-17 16:12:15
A5280130,177500,2025-07-17 16:27:12
A5280130,177501,2025-07-17 16:41:48
A5280130,224266,2025-07-17 16:41:48
A5280130,224455,2025-07-17 16:41:48
A5280130,204056,2025-07-17 17:00:52
A5280130,204165,2025-07-17 17:07:34
A5280130,217257,2025-07-17 17:07:34
A5280130,224456,2025-07-17 17:07:34
A5280130,204060,2025-07-17 17:11:53
A5280130,204314,2025-07-17 17:20:39
A5280130,224267,2025-07-17 17:20:39
A5280130,218043,2025-07-17 18:45:24
A5280130,213750,2025-07-17 18:59:23
A5280130,179265,2025-07-17 19:16:47
A5280130,214155,2025-07-17 20:11:22
A5280130,146197,2025-07-17 21:12:22
A5280130,217130,2025-07-17 21:12:22
A5280130,217258,2025-07-17 21:12:22
A5280130,204061,2025-07-17 21:17:15
A5280130,189005,2025-07-17 21:24:26
A5280130,176862,2025-07-17 21:41:26
A5280130,179566,2025-07-17 21:41:26
A5280130,180409,2025-07-18 11:48:31
A5280130,187122,2025-07-18 11:48:31
A5280130,180250,2025-07-18 13:15:59
A5280130,179266,2025-07-18 13:38:13
A5280130,180488,2025-07-18 14:02:09
A5280130,180248,2025-07-19 04:41:58
A5280130,179532,2025-07-19 05:11:45
A5280130,176589,2025-07-19 05:47:42
A5280130,179267,2025-07-19 06:01:40
A5280130,197082,2025-07-19 06:23:17
A5280130,189006,2025-07-19 06:31:25
A5280130,180047,2025-07-19 20:59:06
A5280130,192525,2025-07-19 20:59:06
A5280130,201772,2025-07-19 22:05:49
A5280130,179606,2025-07-19 23:23:51
A5280130,204078,2025-07-19 23:47:51
A5280130,182835,2025-07-20 00:19:57
A5280130,207621,2025-07-20 00:19:57
A5280130,214155,2025-07-20 00:51:12
A5280130,146197,2025-07-20 10:27:41
A5280130,180321,2025-07-20 10:27:41
A5280130,180323,2025-07-20 10:42:32
A5280130,180322,2025-07-20 11:03:21
A5280130,180320,2025-07-20 12:10:43
A5280130,231189,2025-07-20 12:10:57
A5280130,189010,2025-07-20 12:14:35
A5280130,192827,2025-07-20 15:59:39
A5280130,192847,2025-07-20 16:27:25
A5280130,195232,2025-07-20 16:49:09
A5280130,195383,2025-07-20 17:01:44
A5280130,192434,2025-07-20 17:13:10
A5280130,195405,2025-07-20 17:20:53
A5280130,195407,2025-07-20 17:26:10
A5280130,192543,2025-07-20 17:36:40
A5280130,192544,2025-07-20 17:45:13
A5280130,196560,2025-07-20 23:48:34
A5280130,213233,2025-07-20 23:48:34
A5280130,217259,2025-07-20 23:48:34
A5280130,204138,2025-07-20 23:55:18
A5280130,213748,2025-07-21 00:06:25
A5280130,202081,2025-07-21 00:41:18
A5280130,192429,2025-07-21 07:01:20
A5280130,217131,2025-07-21 07:01:20
A5280130,217260,2025-07-21 07:01:20
A5280130,204139,2025-07-21 07:08:14
A5280130,195412,2025-07-21 07:47:34
A5280130,210928,2025-07-21 07:47:34
A5280130,196561,2025-07-21 08:14:59
A5280130,210929,2025-07-21 08:14:59
A5280130,192005,2025-07-21 08:35:42
A5280130,195387,2025-07-21 09:05:57
A5280130,195385,2025-07-21 10:36:14
A5280130,189015,2025-07-21 10:46:54
A5280130,192848,2025-07-21 11:11:05
A5280130,195231,2025-07-21 12:12:17
A5280130,195384,2025-07-21 12:25:06
A5280130,192433,2025-07-21 12:37:51
A5280130,195406,2025-07-21 12:45:56
A5280130,195408,2025-07-21 12:51:31
A5280130,192545,2025-07-21 13:01:21
A5280130,192546,2025-07-21 13:09:42
A5280130,196562,2025-07-21 13:36:05
A5280130,213234,2025-07-21 13:36:05
A5280130,217261,2025-07-21 13:36:05
A5280130,204140,2025-07-21 14:29:50
A5280130,213749,2025-07-21 15:15:53
