NPI,TITLE,FAB_PROD,RET_PROD,PRODUCT,LOT,EXEC_SEQ,OPERATION,OPER_SHORT_DESC,OPER_LONG_DESC,OUT_DATE,LOT_PRIORITY_MOVEIN,AREA,MODULE,ACTIVITY,CUM_ACTIVITY,LAYER
Panther Lake G-1,Skip Scout EF_BGPT #1,8PXMCVAG,8PXMCG,8PXMCV A G,A528920B,1.0,176976,W 8ZROLSCB,W P1278 PRE ZRO LITHO SCRUB,2025-07-11 21:16:35,0.0,WET ETCH,WE-DRTnc,0,0,START
Panther Lake G-1,Skip Scout EF_BGPT #1,8PXMCVAG,8PXMCG,8PXMCV A G,A528920B,22.0,204056,L 8ZRObaSE,L P1278 ZRO ba 1ST LYR SED (ZRO),2025-07-12 15:06:45,0.0,LITHO,LI-SNEli,0,0,ZRO
Panther Lake G-1,Skip Scout EF_BGPT #1,8PXMCVAG,8PXMCG,8PXMCV A G,A528920B,72.0,213233,L 8b NDRaS,L P1278b NDR a SED (ZRO),2025-07-15 20:02:36,2.0,LITHO,LI-SAVli,0,13,NDR
Panther Lake G-1,Skip Scout EF_BGPT #1,8PXMCVAG,8PXMCG,8PXMCV A G,A528920B,109.0,213234,L 8b PDRaS,L P1278b PDR a SED (ZRO),2025-07-16 13:11:49,2.0,LITHO,LI-SAVli,0,19,PDR
Panther Lake G-1,Skip Scout EF_BGPT #1,8PXMCVAG,8PXMCG,8PXMCV A G,A528920B,187.0,213666,L 8bDPRdSE,L P1278 DPRb d SED (ZRO),2025-07-18 19:53:17,2.0,LITHO,LI-SAYli,0,36,DPR
Panther Lake G-1,Skip Scout EF_BGPT #1,8PXMCVAG,8PXMCG,8PXMCV A G,A528920B,241.0,211888,L 8bDNUcSE,L P1278b c DNU SED (DPR),2025-07-22 14:27:08,2.0,LITHO,LI-SAYli,0,47,DNU
Panther Lake G-1,Skip Scout EF_BGPT #1,8PXMCVAG,8PXMCG,8PXMCV A G,A528920B,306.0,204091,L 8b PDI S,"L P1278b PDI SED (DNU,DPR)",2025-07-24 16:45:55,2.0,LITHO,LI-SNEli,0,60,PDI
Panther Lake G-1,Skip Scout EF_BGPT #1,8PXMCVAG,8PXMCG,8PXMCV A G,A528920B,336.0,204095,L 8b NDI S,"L P1278b NDI SED (DNU,DPR)",2025-07-25 00:08:52,2.0,LITHO,LI-SNEli,0,63,NDI
Panther Lake G-1,Skip Scout EF_BGPT #1,8PXMCVAG,8PXMCG,8PXMCV A G,A528920B,415.0,257029,L 8PLYrSE,"L P1278 PLY r SED (DNU,DPR)",2025-07-30 15:10:49,2.0,LITHO,LI-SAYli,0,84,PLY
Panther Lake G-1,Skip Scout EF_BGPT #1,8PXMCVAG,8PXMCG,8PXMCV A G,A528920B,533.0,210621,L 8b PS1 S,"L P1278b PS1 SED (PLY,DPR)",2025-08-02 21:41:57,2.0,LITHO,LI-SAVli,0,108,PS1
Panther Lake G-1,Skip Scout EF_BGPT #1,8PXMCVAG,8PXMCG,8PXMCV A G,A528920B,582.0,210622,L 8b PS2 S,"L P1278b PS2 SED (PLY,DPR)",,,LITHO,LI-SAVli,0,122,PS2
Panther Lake G-1,Skip Scout EF_BGPT #1,8PXMCVAG,8PXMCG,8PXMCV A G,A528920B,622.0,234119,L 8d NESdS,"L P1278d NES d SED (PLY,DPR)",,,LITHO,LI-SAVli,0,134,NES
Panther Lake G-1,Skip Scout EF_BGPT #1,8PXMCVAG,8PXMCG,8PXMCV A G,A528920B,690.0,228847,L 8c FT1cS,"L P1278C FT1 SED (PLY,DPR)",,,LITHO,LI-SAVli,0,154,FT1
Panther Lake G-1,Skip Scout EF_BGPT #1,8PXMCVAG,8PXMCG,8PXMCV A G,A528920B,709.0,228848,L 8c FT2cS,"L P1278C FT2 SED (PLY,DPR)",,,LITHO,LI-SAVli,0,154,FT2
Panther Lake G-1,Skip Scout EF_BGPT #1,8PXMCVAG,8PXMCG,8PXMCV A G,A528920B,769.0,240707,L 8c FTPmS,"L P1278C FTP m SED (PLY,DPR)",,,LITHO,LI-SAVli,0,174,FTP
Panther Lake G-1,Skip Scout EF_BGPT #1,8PXMCVAG,8PXMCG,8PXMCV A G,A528920B,841.0,228394,L 8c DR5S,"L P1278c DR5 box SED (DPR,PLY)",,,LITHO,LI-SAVli,0,202,DR5
Panther Lake G-1,Skip Scout EF_BGPT #1,8PXMCVAG,8PXMCG,8PXMCV A G,A528920B,870.0,258363,L 8xrHNUS,"L P1278  5n4p r3 HNU SED (DPR,PLY)",,,LITHO,LI-SAVli,0,217,HNU
Panther Lake G-1,Skip Scout EF_BGPT #1,8PXMCVAG,8PXMCG,8PXMCV A G,A528920B,903.0,258365,L 8xrDR6S,"L P1278  5n4p r3 DR6 SED (DPR,PLY)",,,LITHO,LI-SAVli,0,233,DR6
Panther Lake G-1,Skip Scout EF_BGPT #1,8PXMCVAG,8PXMCG,8PXMCV A G,A528920B,937.0,242985,L 8 DR4xS,"L P1278 x DR4 SED (DPR,PLY)",,,LITHO,LI-SAVli,0,249,DR4
Panther Lake G-1,Skip Scout EF_BGPT #1,8PXMCVAG,8PXMCG,8PXMCV A G,A528920B,970.0,242990,L 8 HNSxS,"L P1278 HNS x SED (PLY,DCB)",,,LITHO,LI-SAVli,0,265,HNS
Panther Lake G-1,Skip Scout EF_BGPT #1,8PXMCVAG,8PXMCG,8PXMCV A G,A528920B,1004.0,242983,L 8 QDMxS,"L P1278 x QDM SED (DPR,PLY)",,,LITHO,LI-SAVli,0,281,QDM
Panther Lake G-1,Skip Scout EF_BGPT #1,8PXMCVAG,8PXMCG,8PXMCV A G,A528920B,1048.0,212437,L 8b PB2 S,"L P1278 b PB2 box SED (DPR,PLY)",,,LITHO,LI-SAVli,0,304,PB2
Panther Lake G-1,Skip Scout EF_BGPT #1,8PXMCVAG,8PXMCG,8PXMCV A G,A528920B,1097.0,234550,L 8s PBMbS,"L P1278 s PBM b SED (DPR,PLY)",,,LITHO,LI-SAVli,0,325,PBM
Panther Lake G-1,Skip Scout EF_BGPT #1,8PXMCVAG,8PXMCG,8PXMCV A G,A528920B,1118.0,235101,L 8s NBMnS,"L P1278 s NBM box SED (DPR,PLY)",,,LITHO,LI-SAVli,0,332,NBM
Panther Lake G-1,Skip Scout EF_BGPT #1,8PXMCVAG,8PXMCG,8PXMCV A G,A528920B,1197.0,261262,L 8TPAdyS,"L P1278 dyDGN TPA SED (PLY,DPR)",,,LITHO,LI-SAYli,0,357,TPA
Panther Lake G-1,Skip Scout EF_BGPT #1,8PXMCVAG,8PXMCG,8PXMCV A G,A528920B,1213.0,261263,L 8TPBdyS,"L P1278 dyDGN TPB SED (TPA,PLY,DPR)",,,LITHO,LI-SAYli,0,358,TPB
Panther Lake G-1,Skip Scout EF_BGPT #1,8PXMCVAG,8PXMCG,8PXMCV A G,A528920B,1266.0,218701,L 8b NSDbS,"L P1278b NSD Bx SED (PLY,DPR)",,,LITHO,LI-SAVli,0,376,NSD
Panther Lake G-1,Skip Scout EF_BGPT #1,8PXMCVAG,8PXMCG,8PXMCV A G,A528920B,1287.0,218702,L 8b PSDbS,"L P1278b PSD Bx SED (PLY,DPR)",,,LITHO,LI-SAVli,0,380,PSD
Panther Lake G-1,Skip Scout EF_BGPT #1,8PXMCVAG,8PXMCG,8PXMCV A G,A528920B,1363.0,261264,L 8GC1dyS,"L P1278 dy GC1 SED (TPAB,PLY)",,,LITHO,LI-SAVli,0,407,GC1
Panther Lake G-1,Skip Scout EF_BGPT #1,8PXMCVAG,8PXMCG,8PXMCV A G,A528920B,1377.0,261265,L 8GC2dyS,"L P1278 dy GC2 SED (TPAB,PLY)",,,LITHO,LI-SAVli,0,408,GC2
Panther Lake G-1,Skip Scout EF_BGPT #1,8PXMCVAG,8PXMCG,8PXMCV A G,A528920B,1441.0,261266,L 8PCTdyS,"L P1278 dy PCT SED (TPAB,PLY,DPR)",,,LITHO,LI-SAYli,0,418,PCT
Panther Lake G-1,Skip Scout EF_BGPT #1,8PXMCVAG,8PXMCG,8PXMCV A G,A528920B,1483.0,261267,L 8PCLdyS,"L P1278 dy PCL SED (PLY,DPR)",,,LITHO,LI-SAYli,0,430,PCL
Panther Lake G-1,Skip Scout EF_BGPT #1,8PXMCVAG,8PXMCG,8PXMCV A G,A528920B,1530.0,261268,L 8DVGdyS,"L P1278 dyDGN DVG SED (PCL,PLY)",,,LITHO,LI-SAVli,0,441,DVG
Panther Lake G-1,Skip Scout EF_BGPT #1,8PXMCVAG,8PXMCG,8PXMCV A G,A528920B,1555.0,261269,L 8DVPdyS,"L P1278 dyDGN DVP SED (DVG,PLY)",,,LITHO,LI-SAVli,0,444,DVP
Panther Lake G-1,Skip Scout EF_BGPT #1,8PXMCVAG,8PXMCG,8PXMCV A G,A528920B,1612.0,261270,L 8TLKdyS,"L P1278 dyDGN TLK SED (PLY,DVG)",,,LITHO,LI-SAYli,0,456,TLK
Panther Lake G-1,Skip Scout EF_BGPT #1,8PXMCVAG,8PXMCG,8PXMCV A G,A528920B,1659.0,261392,L 8VCGdyS,"L P1278 VCG dy SED (TLK,PCTL,PLY)",,,LITHO,LI-SAYli,0,466,VCG
Panther Lake G-1,Skip Scout EF_BGPT #1,8PXMCVAG,8PXMCG,8PXMCV A G,A528920B,1681.0,261393,L 8VCTdyS,"L P1278 VCT dy SED(VCG,TLK,TPAB,PLY",,,LITHO,LI-SAYli,0,470,VCT
Panther Lake G-1,Skip Scout EF_BGPT #1,8PXMCVAG,8PXMCG,8PXMCV A G,A528920B,1736.0,249446,L #8MT0dlS,"L #P1278 dlDGN MT0 SED (VCT,VCG)",,,LITHO,LI-SAYli,0,484,MT0
Panther Lake G-1,Skip Scout EF_BGPT #1,8PXMCVAG,8PXMCG,8PXMCV A G,A528920B,1791.0,249070,L #8VA0daS,L #P1278 daDGN VA0 SED (MT0),,,LITHO,LI-SAYli,0,501,VA0
Panther Lake G-1,Skip Scout EF_BGPT #1,8PXMCVAG,8PXMCG,8PXMCV A G,A528920B,1838.0,251775,L #8MT1deS,L #P1278 deDGN MT1 SED (VA0) Clippe,,,LITHO,LI-SAYli,0,513,MT1
Panther Lake G-1,Skip Scout EF_BGPT #1,8PXMCVAG,8PXMCG,8PXMCV A G,A528920B,1886.0,260126,L #8cTFRgS,L #P1278c FL G-CHM TFR SED (MT1),,,LITHO,LI-SBHcu,0,523,TFR
Panther Lake G-1,Skip Scout EF_BGPT #1,8PXMCVAG,8PXMCG,8PXMCV A G,A528920B,1913.0,260270,L #8MT2wS,L #P1278 w DD WB DGN MT2 SED (MT1),,,LITHO,LI-SAYli,0,531,MT2
Panther Lake G-1,Skip Scout EF_BGPT #1,8PXMCVAG,8PXMCG,8PXMCV A G,A528920B,1937.0,260803,L #8VA1wS,"L #P1278 w VA1 SED (MT2,MT1)",,,LITHO,LI-SAYli,0,536,VA1
Panther Lake G-1,Skip Scout EF_BGPT #1,8PXMCVAG,8PXMCG,8PXMCV A G,A528920B,1994.0,265238,L #8MT3gS,L #P1278 g Drgn Apollo MT3 SED (MT2,,,LITHO,LI-SAYli,0,553,MT3
Panther Lake G-1,Skip Scout EF_BGPT #1,8PXMCVAG,8PXMCG,8PXMCV A G,A528920B,2022.0,260806,L #8VA2wS,"L #P1278 w VA2 SED (MT3,MT2)",,,LITHO,LI-SAYli,0,556,VA2
Panther Lake G-1,Skip Scout EF_BGPT #1,8PXMCVAG,8PXMCG,8PXMCV A G,A528920B,2087.0,265240,L #8MT4gS,L #P1278 g Drgn Apollo MT4 SED (MT3,,,LITHO,LI-SAYli,0,573,MT4
Panther Lake G-1,Skip Scout EF_BGPT #1,8PXMCVAG,8PXMCG,8PXMCV A G,A528920B,2105.0,260810,L #8VA3wS,"L #P1278 w VA3 SED (MT4,MT3)",,,LITHO,LI-SAVli,0,576,VA3
Panther Lake G-1,Skip Scout EF_BGPT #1,8PXMCVAG,8PXMCG,8PXMCV A G,A528920B,2162.0,249526,L #86MT5 d,L #P1278.6 d MT5 SED (MT4),,,LITHO,LI-SNYli,0,591,MT5
Panther Lake G-1,Skip Scout EF_BGPT #1,8PXMCVAG,8PXMCG,8PXMCV A G,A528920B,2184.0,249553,L #86VA4,"L #P1278.6 d VA4 SED (MT5,MT4)",,,LITHO,LI-SAVli,0,593,VA4
Panther Lake G-1,Skip Scout EF_BGPT #1,8PXMCVAG,8PXMCG,8PXMCV A G,A528920B,2230.0,243912,L #86MT6 S,L #P1278.6 MT6 SED (MT5),,,LITHO,LI-SNYli,0,603,MT6
Panther Lake G-1,Skip Scout EF_BGPT #1,8PXMCVAG,8PXMCG,8PXMCV A G,A528920B,2246.0,243953,L #8VA5fS,"L #P1278 f VA5 SED (MT6,MT5)",,,LITHO,LI-SAVli,0,604,VA5
Panther Lake G-1,Skip Scout EF_BGPT #1,8PXMCVAG,8PXMCG,8PXMCV A G,A528920B,2292.0,243913,L #86MT7 S,L #P1278.6 MT7 SED (MT6),,,LITHO,LI-SNYli,0,615,MT7
Panther Lake G-1,Skip Scout EF_BGPT #1,8PXMCVAG,8PXMCG,8PXMCV A G,A528920B,2303.0,243954,L #8VA6fS,"L #P1278 f VA6 SED (MT7,MT6)",,,LITHO,LI-SAVli,0,616,VA6
Panther Lake G-1,Skip Scout EF_BGPT #1,8PXMCVAG,8PXMCG,8PXMCV A G,A528920B,2335.0,243914,L #86MT8 S,L #P1278.6  MT8 SED (MT7),,,LITHO,LI-SNYli,0,627,MT8
