LOT,OPERATION,OUT_DATE
A528920B,176976,2025-07-11 21:16:35
A528920B,177500,2025-07-11 21:50:20
A528920B,177501,2025-07-11 21:57:38
A528920B,224266,2025-07-11 21:57:38
A528920B,224455,2025-07-11 21:57:38
A528920B,204056,2025-07-11 23:19:59
A528920B,204165,2025-07-12 08:30:21
A528920B,217257,2025-07-12 08:30:21
A528920B,224456,2025-07-12 08:30:21
A528920B,204060,2025-07-12 10:14:56
A528920B,204314,2025-07-12 10:28:14
A528920B,256844,2025-07-12 10:44:33
A528920B,256856,2025-07-12 11:13:48
A528920B,256859,2025-07-12 11:26:31
A528920B,256857,2025-07-12 12:21:24
A528920B,146372,2025-07-12 12:27:44
A528920B,146373,2025-07-12 12:32:27
A528920B,177500,2025-07-12 12:39:09
A528920B,177501,2025-07-12 12:45:55
A528920B,224266,2025-07-12 12:45:55
A528920B,224455,2025-07-12 12:45:55
A528920B,204056,2025-07-12 15:06:45
A528920B,204165,2025-07-12 16:10:45
A528920B,217257,2025-07-12 16:10:45
A528920B,224456,2025-07-12 16:10:46
A528920B,204060,2025-07-12 16:15:45
A528920B,204314,2025-07-12 19:04:58
A528920B,224267,2025-07-12 19:04:58
A528920B,218043,2025-07-12 19:35:30
A528920B,213750,2025-07-12 19:46:10
A528920B,179265,2025-07-12 20:03:30
A528920B,217130,2025-07-12 20:03:30
A528920B,217258,2025-07-12 20:03:30
A528920B,204061,2025-07-12 20:11:09
A528920B,189005,2025-07-12 20:17:12
A528920B,176862,2025-07-12 20:31:49
A528920B,179566,2025-07-12 20:31:49
A528920B,180409,2025-07-13 00:45:14
A528920B,187122,2025-07-13 00:45:14
A528920B,180250,2025-07-13 04:00:13
A528920B,179266,2025-07-13 04:34:59
A528920B,180488,2025-07-13 04:48:19
A528920B,180248,2025-07-13 20:52:25
A528920B,179532,2025-07-13 21:44:46
A528920B,176589,2025-07-13 22:06:36
A528920B,179267,2025-07-13 23:21:10
A528920B,197082,2025-07-13 23:39:50
A528920B,189006,2025-07-13 23:47:00
A528920B,180047,2025-07-15 00:39:26
A528920B,192525,2025-07-15 00:54:17
A528920B,201772,2025-07-15 01:23:06
A528920B,179606,2025-07-15 03:41:03
A528920B,204078,2025-07-15 04:02:29
A528920B,180321,2025-07-15 04:26:18
A528920B,182835,2025-07-15 04:26:18
A528920B,207621,2025-07-15 04:26:18
A528920B,180323,2025-07-15 04:42:47
A528920B,180322,2025-07-15 05:03:11
A528920B,180320,2025-07-15 05:28:52
A528920B,231189,2025-07-15 05:29:06
A528920B,189010,2025-07-15 05:44:46
A528920B,192827,2025-07-15 14:10:15
A528920B,209410,2025-07-15 14:18:45
A528920B,192847,2025-07-15 14:36:01
A528920B,195232,2025-07-15 15:26:58
A528920B,195383,2025-07-15 15:41:13
A528920B,192434,2025-07-15 15:52:13
A528920B,195405,2025-07-15 15:58:47
A528920B,195407,2025-07-15 16:06:42
A528920B,192543,2025-07-15 16:14:41
