NPI,TITLE,FAB_PROD,RET_PROD,PRODUCT,LOT,EXEC_SEQ,OPERATION,OPER_SHORT_DESC,OPER_LONG_DESC,OUT_DATE,LOT_PRIORITY_MOVEIN,AREA,MODULE,ACTIVITY,CUM_ACTIVITY,LAYER
8PXSCB,Scout 1,8PXSCVB,8PXSCB,8PXSCV   B,L5139630,1.0,0204,Z EBMSTRT,Z EBM WAFER START QUEUE,2025-03-28 10:00:38,,PC,PC-STARTS,0,0,START
8PXSCB,Scout 1,8PXSCVB,8PXSCB,8PXSCV   B,L5139630,15.0,204056,L 8ZRObaSE,L P1278 ZRO ba 1ST LYR SED (ZRO),2025-04-07 12:00:13,0.0,LITHO,LI-SNEli,0,3,ZRO
8PXSCB,Scout 1,8PXSCVB,8PXSCB,8PXSCV   B,L5139630,31.0,204056,L 8ZRObaSE,L P1278 ZRO ba 1ST LYR SED (ZRO),2025-04-07 17:51:43,0.0,LITHO,LI-SNEli,0,3,ZRO
8PXSCB,Scout 1,8PXSCVB,8PXSCB,8PXSCV   B,L5139630,81.0,213233,L 8b NDRaS,L P1278b NDR a SED (ZRO),2025-04-19 15:54:50,0.0,LITHO,LI-SAVli,0,16,NDR
8PXSCB,Scout 1,8PXSCVB,8PXSCB,8PXSCV   B,L5139630,107.0,213234,L 8b PDRaS,L P1278b PDR a SED (ZRO),2025-04-20 21:55:46,0.0,LITHO,LI-SAVli,0,22,PDR
8PXSCB,Scout 1,8PXSCVB,8PXSCB,8PXSCV   B,L5139630,119.0,213234,L 8b PDRaS,L P1278b PDR a SED (ZRO),2025-04-21 06:46:40,0.0,LITHO,LI-SAVli,0,22,PDR
8PXSCB,Scout 1,8PXSCVB,8PXSCB,8PXSCV   B,L5139630,175.0,213666,L 8bDPRdSE,L P1278 DPRb d SED (ZRO),2025-04-28 00:49:28,2.0,LITHO,LI-SAYli,0,37,DPR
8PXSCB,Scout 1,8PXSCVB,8PXSCB,8PXSCV   B,L5139630,223.0,251522,L 8DNUfS,L P1278 f DNU SED (DPR),,,LITHO,LI-SAYli,0,48,DNU
8PXSCB,Scout 1,8PXSCVB,8PXSCB,8PXSCV   B,L5139630,271.0,204091,L 8b PDI S,"L P1278b PDI SED (DNU,DPR)",,,LITHO,LI-SNEli,0,61,PDI
8PXSCB,Scout 1,8PXSCVB,8PXSCB,8PXSCV   B,L5139630,290.0,204095,L 8b NDI S,"L P1278b NDI SED (DNU,DPR)",,,LITHO,LI-SNEli,0,64,NDI
8PXSCB,Scout 1,8PXSCVB,8PXSCB,8PXSCV   B,L5139630,351.0,257029,L 8PLYrSE,"L P1278 PLY r SED (DNU,DPR)",,,LITHO,LI-SAYli,0,83,PLY
8PXSCB,Scout 1,8PXSCVB,8PXSCB,8PXSCV   B,L5139630,446.0,210621,L 8b PS1 S,"L P1278b PS1 SED (PLY,DPR)",,,LITHO,LI-SAVli,0,107,PS1
8PXSCB,Scout 1,8PXSCVB,8PXSCB,8PXSCV   B,L5139630,495.0,210622,L 8b PS2 S,"L P1278b PS2 SED (PLY,DPR)",,,LITHO,LI-SAVli,0,121,PS2
8PXSCB,Scout 1,8PXSCVB,8PXSCB,8PXSCV   B,L5139630,531.0,234119,L 8d NESdS,"L P1278d NES d SED (PLY,DPR)",,,LITHO,LI-SAVli,0,133,NES
8PXSCB,Scout 1,8PXSCVB,8PXSCB,8PXSCV   B,L5139630,590.0,228847,L 8c FT1cS,"L P1278C FT1 SED (PLY,DPR)",,,LITHO,LI-SAVli,0,153,FT1
8PXSCB,Scout 1,8PXSCVB,8PXSCB,8PXSCV   B,L5139630,606.0,228848,L 8c FT2cS,"L P1278C FT2 SED (PLY,DPR)",,,LITHO,LI-SAVli,0,153,FT2
8PXSCB,Scout 1,8PXSCVB,8PXSCB,8PXSCV   B,L5139630,659.0,240707,L 8c FTPmS,"L P1278C FTP m SED (PLY,DPR)",,,LITHO,LI-SAVli,0,173,FTP
8PXSCB,Scout 1,8PXSCVB,8PXSCB,8PXSCV   B,L5139630,729.0,228394,L 8c DR5S,"L P1278c DR5 box SED (DPR,PLY)",,,LITHO,LI-SAVli,0,201,DR5
8PXSCB,Scout 1,8PXSCVB,8PXSCB,8PXSCV   B,L5139630,757.0,228391,L 8cHNUuS,"L P1278c u hnu HNU SED (DPR,PLY)",,,LITHO,LI-SAVli,0,216,HNU
8PXSCB,Scout 1,8PXSCVB,8PXSCB,8PXSCV   B,L5139630,789.0,242984,L 8 DR6xS,"L P1278 x DR6ddm SED (DPR,PLY)",,,LITHO,LI-SAVli,0,232,DR6
8PXSCB,Scout 1,8PXSCVB,8PXSCB,8PXSCV   B,L5139630,821.0,242985,L 8 DR4xS,"L P1278 x DR4 SED (DPR,PLY)",,,LITHO,LI-SAVli,0,248,DR4
8PXSCB,Scout 1,8PXSCVB,8PXSCB,8PXSCV   B,L5139630,853.0,242990,L 8 HNSxS,"L P1278 HNS x SED (PLY,DCB)",,,LITHO,LI-SAVli,0,264,HNS
8PXSCB,Scout 1,8PXSCVB,8PXSCB,8PXSCV   B,L5139630,886.0,242983,L 8 QDMxS,"L P1278 x QDM SED (DPR,PLY)",,,LITHO,LI-SAVli,0,280,QDM
8PXSCB,Scout 1,8PXSCVB,8PXSCB,8PXSCV   B,L5139630,929.0,212437,L 8b PB2 S,"L P1278 b PB2 box SED (DPR,PLY)",,,LITHO,LI-SAVli,0,303,PB2
8PXSCB,Scout 1,8PXSCVB,8PXSCB,8PXSCV   B,L5139630,977.0,234550,L 8s PBMbS,"L P1278 s PBM b SED (DPR,PLY)",,,LITHO,LI-SAVli,0,324,PBM
8PXSCB,Scout 1,8PXSCVB,8PXSCB,8PXSCV   B,L5139630,997.0,235101,L 8s NBMnS,"L P1278 s NBM box SED (DPR,PLY)",,,LITHO,LI-SAVli,0,331,NBM
8PXSCB,Scout 1,8PXSCVB,8PXSCB,8PXSCV   B,L5139630,1076.0,261262,L 8TPAdyS,"L P1278 dyDGN TPA SED (PLY,DPR)",,,LITHO,LI-SAYli,0,356,TPA
8PXSCB,Scout 1,8PXSCVB,8PXSCB,8PXSCV   B,L5139630,1092.0,261263,L 8TPBdyS,"L P1278 dyDGN TPB SED (TPA,PLY,DPR)",,,LITHO,LI-SAYli,0,357,TPB
8PXSCB,Scout 1,8PXSCVB,8PXSCB,8PXSCV   B,L5139630,1145.0,218701,L 8b NSDbS,"L P1278b NSD Bx SED (PLY,DPR)",,,LITHO,LI-SAVli,0,375,NSD
8PXSCB,Scout 1,8PXSCVB,8PXSCB,8PXSCV   B,L5139630,1165.0,218702,L 8b PSDbS,"L P1278b PSD Bx SED (PLY,DPR)",,,LITHO,LI-SAVli,0,379,PSD
8PXSCB,Scout 1,8PXSCVB,8PXSCB,8PXSCV   B,L5139630,1239.0,261264,L 8GC1dyS,"L P1278 dy GC1 SED (TPAB,PLY)",,,LITHO,LI-SAVli,0,406,GC1
8PXSCB,Scout 1,8PXSCVB,8PXSCB,8PXSCV   B,L5139630,1253.0,261265,L 8GC2dyS,"L P1278 dy GC2 SED (TPAB,PLY)",,,LITHO,LI-SAVli,0,407,GC2
8PXSCB,Scout 1,8PXSCVB,8PXSCB,8PXSCV   B,L5139630,1316.0,261266,L 8PCTdyS,"L P1278 dy PCT SED (TPAB,PLY,DPR)",,,LITHO,LI-SAYli,0,417,PCT
8PXSCB,Scout 1,8PXSCVB,8PXSCB,8PXSCV   B,L5139630,1360.0,261267,L 8PCLdyS,"L P1278 dy PCL SED (PLY,DPR)",,,LITHO,LI-SAYli,0,431,PCL
8PXSCB,Scout 1,8PXSCVB,8PXSCB,8PXSCV   B,L5139630,1407.0,261268,L 8DVGdyS,"L P1278 dyDGN DVG SED (PCL,PLY)",,,LITHO,LI-SAVli,0,445,DVG
8PXSCB,Scout 1,8PXSCVB,8PXSCB,8PXSCV   B,L5139630,1431.0,261269,L 8DVPdyS,"L P1278 dyDGN DVP SED (DVG,PLY)",,,LITHO,LI-SAVli,0,448,DVP
8PXSCB,Scout 1,8PXSCVB,8PXSCB,8PXSCV   B,L5139630,1487.0,261270,L 8TLKdyS,"L P1278 dyDGN TLK SED (PLY,DVG)",,,LITHO,LI-SAYli,0,460,TLK
8PXSCB,Scout 1,8PXSCVB,8PXSCB,8PXSCV   B,L5139630,1534.0,261392,L 8VCGdyS,"L P1278 VCG dy SED (TLK,PCTL,PLY)",,,LITHO,LI-SAYli,0,470,VCG
8PXSCB,Scout 1,8PXSCVB,8PXSCB,8PXSCV   B,L5139630,1556.0,261393,L 8VCTdyS,"L P1278 VCT dy SED(VCG,TLK,TPAB,PLY",,,LITHO,LI-SAYli,0,474,VCT
8PXSCB,Scout 1,8PXSCVB,8PXSCB,8PXSCV   B,L5139630,1611.0,249446,L #8MT0dlS,"L #P1278 dlDGN MT0 SED (VCT,VCG)",,,LITHO,LI-SAYli,0,488,MT0
8PXSCB,Scout 1,8PXSCVB,8PXSCB,8PXSCV   B,L5139630,1666.0,249070,L #8VA0daS,L #P1278 daDGN VA0 SED (MT0),,,LITHO,LI-SAYli,0,505,VA0
8PXSCB,Scout 1,8PXSCVB,8PXSCB,8PXSCV   B,L5139630,1713.0,251776,L #8MT1dfS,L #P1278 dfDGN MT1 SED (VA0) Freya,,,LITHO,LI-SAYli,0,517,MT1
8PXSCB,Scout 1,8PXSCVB,8PXSCB,8PXSCV   B,L5139630,1765.0,260126,L #8cTFRgS,L #P1278c FL G-CHM TFR SED (MT1),,,LITHO,LI-SBHcu,0,530,TFR
8PXSCB,Scout 1,8PXSCVB,8PXSCB,8PXSCV   B,L5139630,1789.0,249449,L #8MT2ddS,L #P1278 ddDGN MT2 SED (MT1),,,LITHO,LI-SAYli,0,537,MT2
8PXSCB,Scout 1,8PXSCVB,8PXSCB,8PXSCV   B,L5139630,1812.0,249069,L #8VA1ddS,"L #P1278 ddDGN VA1 SED (MT2,MT1)",,,LITHO,LI-SAYli,0,542,VA1
8PXSCB,Scout 1,8PXSCVB,8PXSCB,8PXSCV   B,L5139630,1871.0,248288,L #8MT3drS,L #P1278 drDGN MT3 SED (MT2),,,LITHO,LI-SAYli,0,559,MT3
8PXSCB,Scout 1,8PXSCVB,8PXSCB,8PXSCV   B,L5139630,1899.0,248269,L #8VA2drS,"L #P1278 drDGN VA2 SED (MT3,MT2)",,,LITHO,LI-SAYli,0,562,VA2
8PXSCB,Scout 1,8PXSCVB,8PXSCB,8PXSCV   B,L5139630,1959.0,248289,L #8MT4drS,L #P1278 drDGN MT4 SED (MT3),,,LITHO,LI-SAYli,0,577,MT4
8PXSCB,Scout 1,8PXSCVB,8PXSCB,8PXSCV   B,L5139630,1977.0,248553,L #8VA3drS,"L #P1278 drDGN VA3 SED (MT4,MT3)",,,LITHO,LI-SAVli,0,580,VA3
8PXSCB,Scout 1,8PXSCVB,8PXSCB,8PXSCV   B,L5139630,2030.0,249526,L #86MT5 d,L #P1278.6 d MT5 SED (MT4),,,LITHO,LI-SNYli,0,594,MT5
8PXSCB,Scout 1,8PXSCVB,8PXSCB,8PXSCV   B,L5139630,2052.0,249553,L #86VA4,"L #P1278.6 d VA4 SED (MT5,MT4)",,,LITHO,LI-SAVli,0,596,VA4
