LAYER,TREND,PLAN
START,2025-03-28 10:01:20,2025-04-21 18:57:07.365617433
ZRO,2025-04-21 09:00:54,2025-04-22 04:53:20.731234866
NDR,2025-04-26 06:12:39,2025-04-23 23:56:58.648910411
PDR,2025-04-26 17:20:28,2025-04-24 19:49:25.380145278
PDR,2025-04-26 20:38:58,2025-04-24 19:49:25.380145278
DPR,2025-05-01 09:07:13,2025-04-26 21:30:32.208232445
DPR,,2025-04-27 04:08:01.118644067
DNU,,2025-04-28 16:34:10.125907989
PDI,,2025-04-30 11:37:48.043583534
NDI,,2025-04-30 21:34:01.409200968
PLY,,2025-05-03 12:30:06.058111379
PS1,,2025-05-06 19:59:52.983050847
PS2,,2025-05-08 18:22:15.355932202
NES,,2025-05-10 10:07:08.818401936
FT1,,2025-05-13 04:21:57.922518159
FT2,,2025-05-13 04:21:57.922518159
FTP,,2025-05-15 22:36:47.026634382
DR5,,2025-05-19 19:21:31.772397094
HNU,,2025-05-21 21:02:38.600484261
DR6,,2025-05-24 02:02:29.883777239
DR4,,2025-05-26 07:02:21.167070217
HNS,,2025-05-28 12:02:12.450363196
QDM,,2025-05-30 17:02:03.733656173
PB2,,2025-06-02 21:13:06.203389830
PBM,,2025-06-05 18:46:39.762711864
NBM,,2025-06-06 17:57:50.949152542
TPA,,2025-06-10 04:46:22.329297820
TPB,,2025-06-10 08:05:06.784503631
NSD,,2025-06-12 19:42:26.978208232
PSD,,2025-06-13 08:57:24.799031477
GC1,,2025-06-17 02:23:25.089588378
GC2,,2025-06-17 05:42:09.544794189
PCT,,2025-06-18 14:49:34.096852300
PCL,,2025-06-20 13:11:56.469733656
DVG,,2025-06-22 11:34:18.842615012
DVP,,2025-06-22 21:30:32.208232445
TLK,,2025-06-24 13:15:25.670702179
VCG,,2025-06-25 22:22:50.222760289
VCT,,2025-06-26 11:37:48.043583535
MT0,,2025-06-28 10:00:10.416464890
VA0,,2025-06-30 18:18:46.154963680
MT1,,2025-07-02 10:03:39.617433413
TFR,,2025-07-04 05:07:17.535108959
MT2,,2025-07-05 04:18:28.721549636
VA1,,2025-07-05 20:52:10.997578692
MT3,,2025-07-08 05:10:46.736077481
VA2,,2025-07-08 15:07:00.101694914
MT4,,2025-07-10 16:48:06.929782082
VA3,,2025-07-11 02:44:20.295399514
MT5,,2025-07-13 01:06:42.668280872
VA4,,2025-07-13 07:44:11.578692493
MT6,,2025-07-14 16:51:36.130750604
VA5,,2025-07-14 20:10:20.585956416
MT7,,2025-07-16 08:36:29.593220339
VA6,,2025-07-16 11:55:14.048426151
MT8,,2025-07-18 00:21:23.055690074
VA7,,2025-07-18 03:40:07.510895884
MT9,,2025-07-19 16:06:16.518159805
VA8,,2025-07-19 19:25:00.973365616
M10,,2025-07-21 07:51:09.980629539
VA9,,2025-07-21 11:09:54.435835352
M11,,2025-07-22 20:17:18.987893463
V10,,2025-07-22 23:36:03.443099275
M12,,2025-07-24 08:43:27.995157384
V11,,2025-07-24 12:02:12.450363196
M13,,2025-07-25 21:09:37.002421307
V12,,2025-07-26 00:28:21.457627119
M14,,2025-07-27 09:35:46.009685230
V13,,2025-07-27 12:54:30.464891040
BKR,,2025-07-30 10:28:04.024213075
BM0,,2025-07-31 16:16:44.121065374
BCN,,2025-07-31 22:54:13.031476998
BV0,,2025-08-02 01:24:08.673123488
BM1,,2025-08-02 04:42:53.128329297
BV1,,2025-08-03 07:12:48.769975785
BM2,,2025-08-03 10:31:33.225181598
BV2,,2025-08-04 13:01:28.866828087
BM3,,2025-08-05 15:31:24.508474575
BV3,,2025-08-06 18:01:20.150121065
BM4,,2025-08-08 06:27:29.157384987
BAV,,2025-08-09 15:34:53.709443099
BC1,,2025-08-10 01:31:07.075060533
BC2,,2025-08-10 14:46:04.895883775
BC3,,2025-08-11 04:01:02.716707023
BV4,,2025-08-11 13:57:16.082324455
BM5,,2025-08-12 23:04:40.634382565
BLV,,2025-08-14 01:34:36.276029055
SHIP,,2025-08-14 04:53:20.731234867
