NPI,TITLE,FAB_PROD,RET_PROD,PRODUCT,LOT,EXEC_SEQ,OPERATION,OPER_SHORT_DESC,OPER_LONG_DESC,OUT_DATE,LOT_PRIORITY_MOVEIN,AREA,MODULE,ACTIVITY,CUM_ACTIVITY,LAYER
8PXSCB,Lead Lot,8PXSCVB,8PXSCB,8PXSCV   B,L5139670,1.0,0204,Z EBMSTRT,Z EBM WAFER START QUEUE,2025-03-28 10:01:20,,PC,PC-STARTS,0,0,START
8PXSCB,Lead Lot,8PXSCVB,8PXSCB,8PXSCV   B,L5139670,15.0,204056,L 8ZRObaSE,L P1278 ZRO ba 1ST LYR SED (ZRO),2025-04-21 09:00:54,2.0,LITHO,LI-SNEli,0,3,ZRO
8PXSCB,Lead Lot,8PXSCVB,8PXSCB,8PXSCV   B,L5139670,64.0,213233,L 8b NDRaS,L P1278b NDR a SED (ZRO),2025-04-26 06:12:39,2.0,LITHO,LI-SAVli,0,16,NDR
8PXSCB,Lead Lot,8PXSCVB,8PXSCB,8PXSCV   B,L5139670,90.0,213234,L 8b PDRaS,L P1278b PDR a SED (ZRO),2025-04-26 17:20:28,2.0,LITHO,LI-SAVli,0,22,PDR
8PXSCB,Lead Lot,8PXSCVB,8PXSCB,8PXSCV   B,L5139670,102.0,213234,L 8b PDRaS,L P1278b PDR a SED (ZRO),2025-04-26 20:38:58,2.0,LITHO,LI-SAVli,0,22,PDR
8PXSCB,Lead Lot,8PXSCVB,8PXSCB,8PXSCV   B,L5139670,158.0,213666,L 8bDPRdSE,L P1278 DPRb d SED (ZRO),2025-05-01 09:07:13,3.0,LITHO,LI-SAYli,0,37,DPR
8PXSCB,Lead Lot,8PXSCVB,8PXSCB,8PXSCV   B,L5139670,177.0,213666,L 8bDPRdSE,L P1278 DPRb d SED (ZRO),2025-05-01 15:33:43,3.0,LITHO,LI-SAYli,0,39,DPR
8PXSCB,Lead Lot,8PXSCVB,8PXSCB,8PXSCV   B,L5139670,225.0,251522,L 8DNUfS,L P1278 f DNU SED (DPR),2025-05-03 03:29:56,3.0,LITHO,LI-SAYli,0,50,DNU
8PXSCB,Lead Lot,8PXSCVB,8PXSCB,8PXSCV   B,L5139670,242.0,251522,L 8DNUfS,L P1278 f DNU SED (DPR),2025-05-03 10:31:53,3.0,LITHO,LI-SAYli,0,51,DNU
8PXSCB,Lead Lot,8PXSCVB,8PXSCB,8PXSCV   B,L5139670,290.0,204091,L 8b PDI S,"L P1278b PDI SED (DNU,DPR)",,,LITHO,LI-SNEli,0,64,PDI
